iter	Passed	Remaining
896	7440	854
897	7465	847
898	7492	841
899	7517	835
900	7553	829
901	7582	823
902	7608	817
903	7633	810
904	7664	804
905	7700	798
906	7742	793
907	7776	787
908	7800	780
909	7827	774
910	7857	767
911	7883	760
912	7917	754
913	7965	749
914	7993	742
915	8021	735
916	8049	728
917	8078	721
918	8106	714
919	8134	707
920	8167	700
921	8202	693
922	8233	686
923	8269	680
924	8295	672
925	8322	665
926	8359	658
927	8395	651
928	8426	643
929	8452	636
930	8481	628
931	8513	621
932	8544	613
933	8570	605
934	8604	598
935	8628	589
936	8655	581
937	8684	574
938	8712	566
939	8741	557
940	8773	550
941	8811	542
942	8837	534
943	8862	525
944	8890	517
945	8917	509
946	8940	500
947	8965	491
948	8990	483
949	9012	474
950	9024	464
951	9033	455
952	9041	445
953	9048	436
954	9054	426
955	9059	416
956	9064	407
957	9069	397
958	9075	387
959	9080	378
960	9086	368
961	9091	359
962	9096	349
963	9101	339
964	9106	330
965	9111	320
966	9117	311
967	9122	301
968	9127	292
969	9133	282
970	9138	272
971	9143	263
972	9148	253
973	9152	244
974	9157	234
975	9162	225
976	9167	215
977	9172	206
978	9177	196
979	9183	187
980	9187	177
981	9192	168
982	9197	159
983	9202	149
984	9207	140
985	9212	130
986	9217	121
987	9221	112
988	9226	102
989	9231	93
990	9235	83
991	9239	74
992	9244	65
993	9248	55
994	9253	46
995	9258	37
996	9262	27
997	9266	18
998	9272	9
999	9276	0
